ANMOIS;CIE;CIE_NOM;;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ
202401;AAL;AMERICAN AIRLINES;;ETATS-UNIS;48156;1394,7;62103
202401;AAR;ASIANA AIRLINES;;COREE DU SUD;13174;317,1;16345
202401;ACA;AIR CANADA;;CANADA;58883;1333,7;72220
202401;ACI;AIRCALIN;;FRANCE (OM);43634;224,5;45879
202401;AEA;AIR EUROPA;;ESPAGNE;33569;22,1;33790
202401;AEE;AEGEAN AIRLINES;;GRECE;22589;66,7;23256
202401;AFR;AIR FRANCE;;FRANCE;3067168;38874,3;3455911
202401;AIC;AIR INDIA;;INDE;12124;370,8;15832
202401;AMC;AIR MALTA;;MALTE;17308;14,9;17457
202401;AMX;AEROMEXICO;;MEXIQUE;16021;457,8;20599
202401;ANE;AIR NOSTRUM;;ESPAGNE;64762;0,1;64763
202401;ASL;AIR SERBIA;;SERBIE;14031;15,5;14186
202401;AUA;AUSTRIAN AIRLINES;;AUTRICHE;39405;35,2;39757
202401;AZU;AZUL;;BRESIL;13490;284,9;16339
202401;BAW;BRITISH AIRWAYS;;ROYAUME-UNI;161485;93,7;162422
202401;BCS;EAT/EUROPEAN AIR TRANSP;;ALLEMAGNE;10;11269,6;112706
202401;BEL;BRUSSELS AIRLINES;;BELGIQUE;51559;2,2;51581
202401;BGA;AIRBUS TRANSPORT INTL;;FRANCE;0;2983,1;29831
202401;BTI;AIR BALTIC;;LETTONIE;14521;85,2;15373
202401;CCA;AIR CHINA INTL;;CHINE;27158;5147,8;78636
202401;CCM;AIR CORSICA;;FRANCE;136275;135,3;137628
202401;CES;CHINA EASTERN AIRLINES;;CHINE;24735;2055;45285
202401;CMA;CMA CGM AIR CARGO;;FRANCE;0;4933,5;49335
202401;CPA;CATHAY PACIFIC;;HONG KONG (CHINE);14929;1556,8;30497
202401;CRL;CORSAIR;;FRANCE;135895;2004,9;155944
202401;CSN;CHINA SOUTHERN AIRLINES;;CHINE;11715;562,4;17339
202401;DAH;AIR ALGERIE;;ALGERIE;240912;744,8;248360
202401;DAL;DELTA AIR LINES;;ETATS-UNIS;132141;2401,9;156160
202401;DLA;AIR DOLOMITI;;ITALIE;12018;0;12018
202401;DLH;LUFTHANSA;;ALLEMAGNE;187894;521,2;193106
202401;EFW;BA EUROFLYER;;ROYAUME-UNI;12129;0;12129
202401;EIN;AER LINGUS;;IRLANDE;45339;50,6;45845
202401;EJU;EASYJET EUROPE;;AUTRICHE;734264;0;734264
202401;ELY;EL AL;;ISRAEL;33183;866,6;41849
202401;ETD;ETIHAD AIRWAYS;;EMIRATS ARABES UNIS;21027;924,9;30276
202401;ETH;ETHIOPIAN AIRLINES;;ETHIOPIE;18242;513,3;23375
202401;EVA;EVA AIR;;TAIWAN;16760;403,5;20795
202401;EWG;EUROWINGS;;ALLEMAGNE;11157;0;11157
202401;EXS;JET2.COM;;ROYAUME-UNI;25625;6,5;25690
202401;EZS;EASYJET SWITZERLAND;;SUISSE;181952;0;181952
202401;EZY;EASYJET UK;;ROYAUME-UNI;224034;0;224034
202401;FBU;FRENCH BEE;;FRANCE;71831;740,5;79236
202401;FDX;FEDEX EXPRESS;;ETATS-UNIS;0;43912,3;439123
202401;FIN;FINNAIR;;FINLANDE;24754;110,4;25858
202401;FPO;ASL AIRLINES FRANCE;;FRANCE;23597;995,9;33556
202401;FWI;AIR CARAIBES;;FRANCE (OM);180372;1025,1;190623
202401;GPX;GP AVIATION LTD.;;BULGARIE;18556;0;18556
202401;GSW;CHAIR AIRLINES;;SUISSE;10594;0;10594
202401;HLF;CHINA CENTRAL AIRLINES;;CHINE;0;1955,5;19555
202401;HVN;VIETNAM AIRLINES;;VIETNAM;22187;877;30957
202401;IBE;IBERIA;;ESPAGNE;97312;108,3;98395
202401;IBS;IBERIA EXPRESS;;ESPAGNE;23898;9,5;23993
202401;ICE;ICELANDAIR;;ISLANDE;10172;31,7;10489
202401;ITY;ITALIA TRASPORTO AEREO;;ITALIE;77262;23,6;77498
202401;JAF;TUIFLY BELGIUM;;BELGIQUE;23017;0;23017
202401;JAL;JAPAN AIRLINES;;JAPON;9498;740,9;16907
202401;KAC;KUWAIT AIRWAYS;;KOWEIT;14562;619,5;20757
202401;KAL;KOREAN AIR;;COREE DU SUD;16716;969,7;26413
